Image	Name	Price	Description	Metadata
https://ipfs.infura.io/ipfs/QmRRr5tUHCjvsSJyNWnzXhKmo1PZku3Y8rbw8gD2wxonm8	ABC #1		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmWGJfCCJmvSn4RTiqwurSUpDEvJpS7JTwNAiXQ7p18VsZ/metadata1.json
https://ipfs.infura.io/ipfs/QmeEwojc2w8j1oAiW1z2t7Up8UG2EZog9TbZ55HpQ2QNgL	ABC #2		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmVCPQSbtm2QCwaaERRVQ9CsgJGbMLyM11bHfkEt4Y2YBv/metadata2.json
https://ipfs.infura.io/ipfs/QmVxAAi3GcyZqtWa36Uy53aHr9NSvNmJhzkPR575n3LdgQ	ABC #3		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/Qmbt9tkdZz1cPJfASWjeghJ5Sj3q9Fm3jPzyvwGF6hHU9Y/metadata3.json
https://ipfs.infura.io/ipfs/QmTWmox772xTwDRtc6XzeSJFFGbciaT1kLUCnvCfaPG7u5	ABC #4		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmZyXuX5iDodkPzPBBnNFKXMbzoYEUXa9YsmNY1EqStygr/metadata4.json
https://ipfs.infura.io/ipfs/QmXwHgRdMywJhggkrHmE8pAb6xHVPm8xuCcchrbYYPAdYd	ABC #5		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/Qme77bquRFUXwpDAHUphqVVNQSKaQLtSEdfy4E13NFD7am/metadata5.json
https://ipfs.infura.io/ipfs/QmTy5NaDFvVeYuar5gnUPMkdrWMwM2tP3rYKL179DwP2oY	ABC #6		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmbR3NDzJAMx4Pnqc9hXwy6yfQDysr9GEMPQbqkTZs2Qp1/metadata6.json
https://ipfs.infura.io/ipfs/QmRNMzE9Hcy8QWYXSHMckpuD5aioqZDtRXxSS8pL4PL8yc	ABC #7		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmW5e3dDmbyqoYxB1KzMG7e1w67eDn2FG97PgBxBWjoN6m/metadata7.json
https://ipfs.infura.io/ipfs/QmW7nokmTvDDQXfy3R4cSQXrXhFBeBCGeJYRrHdhHvmkim	ABC #8		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmWMReF4abAwvGjKjw7aiUYbPhs7rwYiVKXufkGsTwxsbX/metadata8.json
https://ipfs.infura.io/ipfs/QmdSUjezdtuLs9x6Z6zE7qaGiubR3utmtYyR8rAFTXVjYz	ABC #9		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmYcv5iMUaYEP8Wi15vBEeyqBBaqqezamEqn5mXZdNf6MT/metadata9.json
https://ipfs.infura.io/ipfs/QmaX1XB7ZFTAfdzPTZ9L9As4PVpM2FzrN7JGYYyzbZrz2S	ABC #10		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmWaGCzugE3rG4wiC4YKof4ao9BYvAgTBYFiNJz9GZTb1V/metadata10.json
